title,processed_synopsis
The Manchurian Candidate,near end korean war platoon soldier captur communist brainwash follow war platoon return home sergeant raymond shaw laurenc harvey laud hero rest platoon howev platoon command captain bennett marco frank sinatra find plagu strang nightmar togeth fellow soldier allen melvin jame edward race uncov terribl plot
Marty,acclaim romant drama follow life marti piletti ernest borgnin stout bachelor butcher live mother esther minciotti bronx alway unlucki love marti reluct goe ballroom one night meet nice teacher name clara betsi blair though marti clara hit relat discourag pursu relationship must decid famili approv shot find romanc
One Flew Over the Cuckoo's Nest,randl patrick mcmurphi jack nicholson get transfer evalu prison farm mental institut assum less restrict environ martinet nurs ratch louis fletcher run psychiatr ward iron fist keep patient cow abus medic session electroconvuls therapi battl will rebelli mcmurphi inflex ratch soon affect ward patient
Mary Poppins,jane karen dotric michael matthew garber children wealthi uptight bank famili face prospect new nanni pleasant surpris arriv magic mari poppin juli andrew embark seri fantast adventur mari cockney perform friend bert dick van dyke sibl tri pass nanni sunni attitud preoccupi parent david tomlinson glyni john
Some Like It Hot,wit mafia murder slick saxophon player joe toni curti buddi jerri jack lemmon improvis quick plan escap chicago live disguis women join jazz band hop train bound sunni florida joe pretend millionair win band sexi singer sugar marilyn monro jerri find pursu real millionair joe brown thing heat mobster close
Lady Bird,teenag saoirs ronan navig love turbul relationship mother lauri metcalf cours event poignant senior year high school
BlacKkKlansman,ron stallworth first detect serv colorado spring polic depart determin make name stallworth brave set danger mission infiltr expos ku klux klan detect soon recruit season colleagu flip zimmerman undercov investig lifetim togeth team take extremist hate group organ aim sanit rhetor appeal mainstream
Eighth Grade,kayla endur tidal wave contemporari suburban adolesc make way last week middl school end thus far disastr year
Booksmart,academ overachiev ami molli thought keep nose grindston gave leg high school peer eve graduat best friend sudden realiz may miss special moment teenag year determin make lost time girl decid cram four year miss fun one night chaotic adventur amount book smart could prepar
The Farewell,billi famili return china guis fake wed stealthili say goodby belov matriarch person know week live
The Big Sick,kumail pakistani comic meet american graduat student name emili one show relationship blossom soon becom worri tradit muslim parent think emili sudden come ill leav coma kumail find develop bond deepli concern mother father
Once Upon a Time... In Hollywood,actor rick dalton gain fame fortun star 1950s televis western struggl find meaning work hollywood recogn anymor spend time drink pall around cliff booth easygo best friend longtim stunt doubl rick also happen live next door roman polanski sharon tate filmmak bud actress whose futur forev alter member manson famili
La La Land,sebastian ryan gosl mia emma stone drawn togeth common desir love success mount face decis begin fray fragil fabric love affair dream work hard maintain threaten rip apart
"Three Billboards Outside Ebbing, Missouri",month pass without culprit daughter murder case mildr hay make bold move paint three sign lead town controversi messag direct william willoughbi town rever chief polic offic dixon immatur mother boy penchant violenc get involv battl exacerb
Crazy Rich Asians,rachel chu happi accompani longtim boyfriend nick best friend wed singapor also surpris learn nick famili extrem wealthi consid one countri elig bachelor thrust spotlight rachel must contend jealous socialit quirki relat someth far far wors nick disapprov mother
Paterson,paterson adam driver hardwork bus driver paterson follow routin everi day observ citi listen fragment convers pick drop passeng paterson also write heartfelt poem notebook walk dog drink one beer bar shift wait home laura golshifteh farahani belov wife champion gift write
Sorry to Bother You,altern realiti oakland telemarket cassius green find macabr univers discov magic key lead materi glori green career begin take friend organ protest corpor oppress cassius soon fall spell steve lift ceo offer salari beyond wildest dream
The Disaster Artist,incred true stori aspir filmmak hollywood outsid tommi wiseau best friend defiant pursu dream embark hilari odyssey make cult classic room
Birdman or (The Unexpected Virtue of Ignorance),former cinema superhero riggan thomson michael keaton mount ambiti broadway product hope breath new life stagnant career riski hope creativ gambl prove real artist movi star open night approach castmat injur forc riggan hire actor edward norton guarante shake thing meanwhil riggan must deal girlfriend daughter
Monty Python and the Holy Grail,comed grim circumst middl age told stori king arthur frame murder investig mythic king briton lead knight quest holi grail face wide array horror includ persist black knight giant cadr knight peril castl anthrax killer rabbit hous virgin hand rude frenchmen
The Artist,1920s actor georg valentin jean dujardin bona fide matine idol mani ador fan work latest film georg find fall love ingenu name peppi miller bérénice bejo seem peppi feel way georg reluct cheat wife beauti young actress grow popular sound movi separ potenti lover georg career begin fade peppi star rise
The Death of Stalin,tyrann dictat joseph stalin die 1953 parasit croni squar frantic power struggl becom next soviet leader among contend dweebish georgi malenkov wili nikita khrushchev lavrenti beria sadist secret polic chief bumbl brawl way top question remain run govern
Spy,despit solid field train cia analyst susan cooper melissa mccarthi spent entir career desk jockey work dash agent bradley fine jude law use equip hidden earpiec susan guardian angel help bradley avoid danger howev bradley assassin bulgarian arm dealer rayna boyanov rose byrn susan wrangl way first undercov assign help captur boyanov aveng bradley
